Attribute,Move,Description
Earth,Rock Breaker,"Physical attack, 70 Earth damage to one foe."
Earth,Full Moon Kick,"Physical attack, 110 Earth damage to one foe. 30% chance of increasing SPD by 10%."
Earth,Poop,"Physical attack, 75 Earth damage to one foe. 30% chance of reducing target's SPD by 10%."
Earth,Rock Fist,"Physical attack, 65 Earth damage to one foe. 10% chance of increasing DEF by 10%."
Earth,Poop Dunk,"Physical attack, 80 Earth damage to one foe. 30% chance of reducing target's DEF by 10%."
Earth,Fifth Rush,"5 physical attacks, 20 Earth damage to one foe. 80% accuracy."
Earth,Mature Poop,"Physical attack, 75 Earth damage to one foe. 30% chance of reducing target's INT by 10%."
Earth,Rare Metal Poop,"Physical attack, 80 Earth damage to one foe. Causes Knockback."
Earth,Super Stinky Jet,"Magic attack, 20 Earth damage to all foes. 30% chance of reducing target's SPD by 10%."
Earth,Tail Hammer,"Physical attack, 85 Earth damage to one foe. 15% chance of stunning target."
Earth,Fist of the Beast King,"Physical attack, 95 Earth damage to one foe."
Earth,Metal Meteor,"Physical attack, 115 Earth damage to one foe."
Earth,Poop Toss,"Physical attack, 75 Earth damage to one foe. 30% chance of reducing target's ATK by 10%."
Earth,Hyper Smell,"Physical attack, 70 Earth damage to one foe. 15% chance of confusing or paralyzing."
Earth,Diamond Shell,"Physical attack, 60 Earth damage to one foe. 10% chance of increasing DEF by 10%."
Earth,Comet Hammer III,"Physical attack, 105 Earth damage to one foe. 95% accuracy."
Earth,Howling Crusher,"2 physical attacks, 65 Earth damage to one foe."
Earth,Comet Hammer I,"Physical attack, 65 Earth damage to one foe. 95% accuracy."
Earth,Comet Hammer II,"Physical attack, 85 Earth damage to one foe. 95% accuracy."
Earth,Puppet Pummel,"Physical attack, 125 Earth damage to one foe. 25% chance of stunning target."
Earth,Grand Rock I,"Magic attack, 55 Earth damage to one foe. 95% accuracy."
Earth,Grand Rock II,"Magic attack, 75 Earth damage to one foe. 95% accuracy."
Earth,Grand Rock III,"Magic attack, 95 Earth damage to one foe. 95% accuracy."
Earth,Awesome Quake I,"Physical attack, 30 Earth damage to all foes. 95% accuracy."
Earth,Awesome Quake II,"Physical attack, 45 Earth damage to all foes. 95% accuracy."
Earth,Awesome Quake III,"Physical attack, 75 Earth damage to all foes. 95% accuracy."
Earth,Table Flip,"Physical attack, 100 Earth damage to all foes. 70% accuracy. Tends to critical more often."
Earth,Soul Core Attack,"DEF-penetrating attack, double Earth damage to one foe."
Earth,Vulcan Crusher,"Physical attack, 145 Earth damage to one foe. 35% chance of stunning target. 95% accuracy."
Earth,Shock,"Physical attack, 40 Earth damage to one foe. Inflicts Stun status effect."
Earth,Destruction Crush,"Magic attack, 80 Earth damage to all foes."
Earth,Platinum Junk,"4 physical attacks, 30 Earth damage to one foe. 30% chance of reducing target's ATK by 10%."
