Attribute,Move,Description
Electric,Mach Stinger V,"6 physical attacks, 20 Electric damage to one foe. Tends to critical more often."
Electric,Infinity Cannon,"Physical attack, 115 Electric damage to all foes. 80% accuracy."
Electric,Celestial Blade,"Magic attack, 80 Electric damage to all foes."
Electric,Electro Shocker,"Magic attack, 80 Electric damage to one foe."
Electric,Nitro Stinger,"DEF-penetrating attack, double Electric damage to one foe."
Electric,Atomic Ray,"Physical attack, 125 Electric damage to one foe. 20% chance of stunning target."
Electric,Electric Shock,"Magic attack, 55 Electric damage to one foe. 10% chance of paralyzing target."
Electric,Spiral Sword,"Physical attack, 110 Electric damage to one foe. Tends to critical more often."
Electric,Horn Buster,"INT-penetrating attack, double Electric damage to one foe."
Electric,Vulcan's Hammer,"Physical attack, 115 Electric damage to one foe."
Electric,Turbo Stinger,"4 physical attacks, 25 Electric damage to one foe."
Electric,Thunder Cloud II,"Magic attack, 75 Electric damage to one foe. 10% chance of paralyzing target."
Electric,Thunder Cloud,"2 magic attacks, 30 Electric damage to one foe."
Electric,Lightning Javelin,"Magic attack, 105 Electric damage to one foe."
Electric,Terrors Cluster,"Physical attack, 125 Electric damage to one foe. 25% chance of paralyzing target."
Electric,Atomic Blaster,"Physical attack, 250 Electric damage to one foe. Cannot move from recoil for one turn."
Electric,Giga Blaster,"Magic attack, 120 Electric damage to one foe."
Electric,Nuclear Laser,"DEF-penetrating attack, Electric damage to one foe. 30% chance of increasing DEF by 10%."
Electric,Energy Bomb,"Magic attack, 100 Electric damage to one foe. Always hits."
Electric,Golden Triangle I,"Magic attack, 90 Electric damage to one foe. 5% chance of increasing base stats by 10%."
Electric,Brain Rupture,"Magic attack, 115 Electric damage to one foe. 20% chance of confusing target."
Electric,Electric Stun Blast,"Physical attack, 65 Electric damage to one foe. 15% chance of paralyzing target."
Electric,Super Shocker,"Magic attack, 60 Electric damage to one foe."
Electric,Lightning Spear,"INT-penetrating attack, double Electric damage to one foe. Tends to critical more often."
