Attribute,Move,Description
Fire,Fox Fire,"Physical attack, 85 Fire damage to one foe. 10% chance of increasing SPD by 10%."
Fire,Exhaust Flame,"Physical attack, 85 Fire damage to one foe. 10% chance of increasing ATK by 10%."
Fire,D-Grenade,"Physical attack, 40 Fire damage to all foes. Always hits."
Fire,Plastic Blaze,"Physical attack, 60 Fire damage to one foe. 10% chance of reducing target's INT by 10%."
Fire,Final Shining Burst,"Physical attack, 200 Fire damage to all foes. Decreases ATK by 10%."
Fire,Spiral Twister,"Magic attack, 55 Fire damage to one foe. 10% chance of increasing INT by 10%."
Fire,Transcendent Sword,"Physical attack, 115 Fire damage to all foes."
Fire,Flaming Fist,"Physical attack, 50 Fire damage to all foes."
Fire,Great Tornado,"DEF-penetrating attack, double Fire damage to one foe."
Fire,Dragonic Impact,"Physical attack, 100 Fire damage to all foes. Also knocks back targets."
Fire,Goblin Strike,"Physical attack, 65 Fire damage to one foe. 10% chance of stunning target."
Fire,Dragon's Roar,"2 physical attacks, 55 Fire damage to a foe and absorbs 50% of the damage as HP."
Fire,Fist of Athena,"DEF-penetrating attack, triple Fire damage to one foe. 30% chance of stunning target."
Fire,Blue Blaster,"Physical attack, 65 Fire damage to one foe. 10% chance of reducing target's DEF by 10%."
Fire,Harpoon Torpedo,"Physical attack, 90 Fire damage to one foe. Always hits."
Fire,Mega Flame,"Physical attack, 95 Fire damage to one foe."
Fire,Will-O'-Wisp Slash,"2 physical attacks, 65 Fire damage to one foe."
Fire,Starlight Explosion,"Magic attack, 80 Fire damage to all foes."
Fire,Quake!Blast!Fire!Father!,"4 physical attacks, 35 Fire damage to one foe."
Fire,Trident Revolver,"3 physical attacks, 40 Fire damage to one foe."
Fire,Giga Destroyer,"Physical attack, 115 Fire damage to one foe."
Fire,Genocide Attack,"Physical attack, 110 Fire damage to one foe. Tends to critical more often."
Fire,Smile Bomber,"Physical attack, 110 Fire damage to one foe. Always hits."
Fire,Cold Flame,"Physical attack, 100 Fire damage to one foe. 10% chance of increasing INT by 10%."
Fire,GeoGrey Sword,"Physical attack, 130 Fire damage to one foe. Increases ATK by 10%."
Fire,Pit Bomb,"Magic attack, 105 Fire damage to one foe."
Fire,Digital Bomb,"Magic attack, 80 Fire damage to one foe. 5% chance of reducing base stats by 10%."
Fire,Burst Shot,"2 physical attacks, 50 Fire damage to all foes."
Fire,Heavy Metal Fire,"Physical attack, 110 Fire damage to one foe. 30% chance of increasing DEF by 10%."
Fire,Oblivion Bird,"Physical attack, 110 Fire damage to one foe. 30% chance of reducing target's DEF by 10%."
Fire,Genocidal Gears,"Physical attack, 60 Fire damage to all foes."
Fire,Shadow Wing,"Magic attack, 65 Fire damage to all foes."
Fire,Catastrophe Cannon,"3 physical attacks, 80 Fire damage to a foe. Cannot move from recoil for one turn."
Fire,Spider Shooter,"4 physical attacks, 30 Fire damage to one foe. 5% chance of reducing target's DEF by 10%."
Fire,Terra Force,"Physical attack, 90 Fire damage to all foes. 30% chance of increasing ATK by 20%."
Fire,Flame Inferno,"Magic attack, 90 Fire damage to all foes."
Fire,Burning Fist,"Physical attack, 80 Fire damage to one foe. 30% chance of increasing ATK by 10%."
Fire,V-Nova Blast,"Physical attack, 105 Fire damage to one foe. After use, receive 5% HP damage from recoil."
Fire,Meteor Wing,"Magic attack, 25 Fire damage to all foes. 10% chance of increasing SPD by 10%."
Fire,Fire Breath,"Physical attack, 90 Fire damage to one foe. Tends to critical more often."
Fire,Hyper Cannon,"Physical attack, 200 Fire damage to one foe. Cannot move from recoil for one turn."
Fire,Mega Burst,"Physical attack, 45 Fire damage to all foes."
Fire,Hyper Heat,"Physical attack, 85 Fire damage to one foe. 10% chance of reducing target's DEF by 10%."
Fire,Bit Fire,"3 physical attacks, 30 Fire damage to one foe."
Fire,Wolkenapalm I,"Physical attack, 65 Fire damage to one foe. 95% accuracy."
Fire,Will-o'-Wisp,"Magic attack, 30 Fire damage to all foes."
Fire,Spitfire Blast,"Physical attack, 35 Fire damage to all foes. 10% chance of increasing ATK by 10%."
Fire,Wolkenapalm II,"Physical attack, 85 Fire damage to one foe. 95% accuracy."
Fire,Wolkenapalm III,"Physical attack, 105 Fire damage to one foe. 95% accuracy."
Fire,Burst Flame I,"Magic attack, 55 Fire damage to one foe. 95% accuracy."
Fire,Burst Flame II,"Magic attack, 75 Fire damage to one foe. 95% accuracy."
Fire,Burst Flame III,"Magic attack, 95 Fire damage to one foe. 95% accuracy."
Fire,Meteor Fall I,"Physical attack, 30 Fire damage to all foes. 95% accuracy."
Fire,Meteor Fall II,"Physical attack, 45 Fire damage to all foes. 95% accuracy."
Fire,Meteor Fall III,"Physical attack, 75 Fire damage to all foes. 95% accuracy."
Fire,Panic Wisp,"Magic attack, 30 Fire damage to one foe. Inflicts Panic status effect."
Fire,Plasma Shoot,"3 physical attacks, 35 Fire damage to all foes."
Fire,Pepper Breath,"Physical attack, 70 Fire damage to one foe."
