Attribute,Move,Description
Light,Shining Laser III,"Magic attack, 65 Light damage to all foes. 95% accuracy."
Light,Extinction Wave,"Magic attack, 80 Light damage to all foes. Always hits."
Light,Lightning Joust,"Physical attack, 140 Light damage to one foe. 30% chance of increasing DEF by 10%."
Light,Good Night Moon,"Magic attack, 125 Light damage to one foe. Puts target to sleep."
Light,Strike of the Seven Stars,"7 magic attacks, 15 Light damage to all foes."
Light,Bifrost,"Magic attack, 120 Light damage to one foe. Increases SPD by 10%."
Light,Amethyst Mandala,"Magic attack, 70 Light damage to all foes. Cancel target's positive effects."
Light,Disaster Blaster,"Magic attack, 65 Light damage to all foes."
Light,Eden's Javelin,"Magic attack, 120 Light damage to one foe. 30% chance of increasing INT by 20%."
Light,Positron Laser,"Physical attack, 150 Light damage to one foe."
Light,The Ray of Victory,"Physical attack, 100 Light damage to all. Always hits. 10% chance increasing SPD by 10%."
Light,Golden Rush,"2 physical attacks, 10 Light damage to all foes. 1% chance of instantly killing target."
Light,Blade of the Dragon King,"3-6 physical attacks, 30 Light damage to one foe."
Light,Sunshine Beam,"Magic attack, 80 Light damage to one foe."
Light,Saint Knuckle I,"Physical attack, 65 Light damage to one foe. 95% accuracy."
Light,Saint Knuckle II,"Physical attack, 85 Light damage to one foe. 95% accuracy."
Light,Saint Knuckle III,"Physical attack, 105 Light damage to one foe. 95% accuracy."
Light,Savage Emperor,"Magic attack, 105 Light damage to one foe."
Light,Holy Light I,"Magic attack, 55 Light damage to one foe. 95% accuracy."
Light,Holy Light II,"Magic attack, 75 Light damage to one foe. 95% accuracy."
Light,Holy Light III,"Magic attack, 95 Light damage to one foe. 95% accuracy."
Light,Shining Laser I,"Magic attack, 20 Light damage to all foes. 95% accuracy."
Light,Shining Laser II,"Magic attack, 35 Light damage to all foes. 95% accuracy."
Light,Support End,"Magic attack, 30 Light damage to one foe. Prevents the use of support skills."
Light,Heaven's Gate,"Magic attack, 100 Light damage to one foe. 10% chance of instantly killing target."
Light,Death Parade Blaster,"2 physical attacks, 40 Light damage to all foes."
Light,Celestial Arrow,"Magic attack, 100 Light damage to one foe. Always hits."
Light,Superstar Uppercut,"Physical attack, 110 Light damage to one foe."
Light,Flashy Boss Punch,"Physical attack, 130 Light damage to one foe. 50% chance of stunning target."
Light,Fire Tornado,"Magic attack, 80 Light damage to all foes."
Light,Heaven's Judgment,"Magic attack, 90 Light damage to all foes. Tends to critical more often."
Light,S-Gold Solar Storm,"Magic attack, 75 Light damage to all foes. Increases DEF by 10%."
Light,Divine Atonement,"Magic attack, 105 Light damage to all foes."
Light,Puppy Howl,"INT-penetrating attack, Light damage to one foe. 10% chance of paralyzing target."
Light,Grand Cross,"INT-penetrating attack, Light damage to all foes."
Light,Aguichant L\E8vres,INT-penetrating Light attack on one foe and absorbs 50% of the damage as HP.
Light,Full Moon Meteor Impact,"Physical attack, 120 Light damage to one foe. 30% chance of stunning and tends to critical."
Light,Seven's Fantasia,"Magic attack, 75 Light damage to all foes. 20% chance of confusing target."
Light,Golden Triangle,"Magic attack, 110 Light damage to one foe. Increases base stats by 10%."
Light,Shield of the Just,"Magic attack, 115 Light damage to one foe. Always hits. Cancels negative effects on itself."
Light,Heaven's Knuckle,"Physical attack, 80 Light damage to one foe. 10% chance of increasing ATK & INT by 10%."
Light,Vee Laser,"Physical attack, 95 Light damage to one foe."
Light,Blinding Ray,"Magic attack, 65 Light damage to one foe."
Light,Full Moon Blaster,"Physical attack, 135 Light damage to one foe. Always hits."
