NUMBER,MOVE_NAME,SP_COST,TYPE,POWER,ATTRIBUTE,INHERITABLE,DESCRIPTION
1,Wolkenapalm I,3,Physical,65,Fire,1,"Physical attack, 65 Fire damage to one foe. 95% accuracy."
2,Wolkenapalm II,6,Physical,85,Fire,1,"Physical attack, 85 Fire damage to one foe. 95% accuracy."
3,Wolkenapalm III,9,Physical,105,Fire,1,"Physical attack, 105 Fire damage to one foe. 95% accuracy."
4,Burst Flame I,3,Magic,55,Fire,1,"Magic attack, 55 Fire damage to one foe. 95% accuracy."
5,Burst Flame II,6,Magic,75,Fire,1,"Magic attack, 75 Fire damage to one foe. 95% accuracy."
6,Burst Flame III,9,Magic,95,Fire,1,"Magic attack, 95 Fire damage to one foe. 95% accuracy."
7,Meteor Fall I,4,Physical,30,Fire,1,"Physical attack, 30 Fire damage to all foes. 95% accuracy."
8,Meteor Fall II,7,Physical,45,Fire,1,"Physical attack, 45 Fire damage to all foes. 95% accuracy."
9,Meteor Fall III,10,Physical,75,Fire,1,"Physical attack, 75 Fire damage to all foes. 95% accuracy."
10,Panic Wisp,10,Magic,30,Fire,1,"Magic attack, 30 Fire damage to one foe. Inflicts Panic status effect."
11,Ice Archery I,3,Physical,65,Water,1,"Physical attack, 65 Water damage to one foe. 95% accuracy."
12,Ice Archery II,6,Physical,85,Water,1,"Physical attack, 85 Water damage to one foe. 95% accuracy."
13,Ice Archery III,9,Physical,105,Water,1,"Physical attack, 105 Water damage to one foe. 95% accuracy."
14,Hydro Water I,3,Magic,55,Water,1,"Magic attack, 55 Water damage to one foe. 95% accuracy."
15,Hydro Water II,6,Magic,75,Water,1,"Magic attack, 75 Water damage to one foe. 95% accuracy."
16,Hydro Water III,9,Magic,95,Water,1,"Magic attack, 95 Water damage to one foe. 95% accuracy."
17,Ocean Wave I,4,Magic,20,Water,1,"Magic attack, 20 Water damage to all foes. 95% accuracy."
18,Ocean Wave II,7,Magic,35,Water,1,"Magic attack, 35 Water damage to all foes. 95% accuracy."
