Attribute,Move,Description
Plant,Gaia Element III,"Magic attack, 95 Plant damage to one foe. 95% accuracy."
Plant,Needle Spray,"Physical attack, 40 Plant damage to all foes. 5% chance of paralyzing target."
Plant,Crescent Leaf I,"Physical attack, 65 Plant damage to one foe. 95% accuracy."
Plant,Cherry Bomb,"Physical attack, 65 Plant damage to all foes."
Plant,Rune Forest II,"Magic attack, 35 Plant damage to all foes. 95% accuracy."
Plant,Rune Forest III,"Magic attack, 65 Plant damage to all foes. 95% accuracy."
Plant,Venom Trap,"Physical attack, 40 Plant damage to one foe. Inflicts Poison status effect."
Plant,Rune Forest I,"Magic attack, 20 Plant damage to all foes. 95% accuracy."
Plant,Thorn Whip,"Physical attack, 120 Plant damage to one foe, absorbs 50% into HP. 15% chance of paralyzing target."
Plant,Seed Blast,"2 physical attacks, 15 Plant damage to all foes."
Plant,Sticky Net,"Physical attack, 65 Plant damage to one foe. 30% chance of reducing target's SPD by 10%."
Plant,Gaia Element I,"Magic attack, 55 Plant damage to one foe. 95% accuracy."
Plant,Dimension Scissor,"DEF-penetrating attack, double Plant damage to one foe. Tends to critical more often."
Plant,Branch Drain,"Physical attack, 75 Plant damage to one foe, absorbs 20% into HP."
Plant,Diamond Storm,"Magic attack, 25 Plant damage to all foes."
Plant,Crescent Leaf II,"Physical attack, 85 Plant damage to one foe. 95% accuracy."
Plant,Poison Ivy,"Physical attack, 65 Plant damage to one foe. 10% chance of poisoning target."
Plant,Crescent Leaf III,"Physical attack, 105 Plant damage to one foe. 95% accuracy."
Plant,Flower Cannon,"Magic attack, 105 Plant damage to one foe."
Plant,Spiking Strike,"DEF-penetrating attack, Plant damage to one foe. Tends to critical more often."
Plant,Lila Shower,"Magic attack, 60 Plant damage to all foes. 20% chance of poisoning target."
Plant,Gaia Element II,"Magic attack, 75 Plant damage to one foe. 95% accuracy."
