Attribute,Move,Description
Thunder,Nanomachine Break I,"Physical attack, 65 Thunder damage to one foe. 95% accuracy."
Thunder,Thunder Fall I,"Physical attack, 30 Thunder damage to all foes. 95% accuracy."
Thunder,Nanomachine Break III,"Physical attack, 105 Thunder damage to one foe. 95% accuracy."
Thunder,Heaven's Thunder I,"Magic attack, 55 Thunder damage to one foe. 95% accuracy."
Thunder,Heaven's Thunder II,"Magic attack, 75 Thunder damage to one foe. 95% accuracy."
Thunder,Heaven's Thunder III,"Magic attack, 95 Thunder damage to one foe. 95% accuracy."
Thunder,Thunder Fall II,"Physical attack, 45 Thunder damage to all foes. 95% accuracy."
Thunder,Thunder Fall III,"Physical attack, 75 Thunder damage to all foes. 95% accuracy."
Thunder,Ripping Net,"Physical attack, 40 Thunder damage to one foe. Inflicts Paralyze status effect."
Thunder,Nanomachine Break II,"Physical attack, 85 Thunder damage to one foe. 95% accuracy."
