Attribute,Move,Description
Wind,Wind Claw I,"Physical attack, 65 Wind damage to one foe. 95% accuracy."
Wind,Top Gun,"Magic attack, 110 Wind damage to one foe."
Wind,Dragon Impulse,"Physical attack, 115 Wind damage to one foe."
Wind,Wind Cutter Sword,"3 physical attacks, 40 Wind damage to one foe."
Wind,Bunny Blades,"2 physical attacks, 55 Wind damage to one foe."
Wind,Terrier Tornado,"Magic attack, 20 Wind damage to all foes."
Wind,Kunai Wing,"3 physical attacks, 30 Wind damage to one foe."
Wind,Glide Horn,"Physical attack, 85 Wind damage to one foe. 15% chance of stunning target."
Wind,Texture Blow,"Physical attack, 40 Wind damage to one foe. Inflicts Dot status effect."
Wind,Air Shot,"Magic attack, 50 Wind damage to one foe. 10% chance of increasing SPD by 10%."
Wind,Spiral Blow,"Physical attack, 90 Wind damage to one foe."
Wind,Victory Sword,"2 physical attacks, 65 Wind damage to one foe."
Wind,Gale Storm II,"Physical attack, 45 Wind damage to all foes. 95% accuracy."
Wind,Wyvern's Breath,"Physical attack, 110 Wind damage to all foes. Receive recoil damage equal to 20% of HP."
Wind,Ninja Blade,"Physical attack, 35 Wind damage to all foes."
Wind,Gale Storm I,"Physical attack, 30 Wind damage to all foes. 95% accuracy."
Wind,Sonic Void III,"Magic attack, 95 Wind damage to one foe. 95% accuracy."
Wind,Feather Slash,"DEF-penetrating attack, Wind damage to one foe."
Wind,Pendragon's Glory,"Physical attack, 135 Wind damage to one foe."
Wind,Sonic Void II,"Magic attack, 75 Wind damage to one foe. 95% accuracy."
Wind,Sonic Void I,"Magic attack, 55 Wind damage to one foe. 95% accuracy."
Wind,Wind Claw III,"Physical attack, 105 Wind damage to one foe. 95% accuracy."
Wind,Wind Claw II,"Physical attack, 85 Wind damage to one foe. 95% accuracy."
Wind,Gale Storm III,"Physical attack, 75 Wind damage to all foes. 95% accuracy."
Wind,The King of Fists,"1-3 physical attacks, 55 Wind damage to one foe. 15% chance of stunning target."
